id,InventoryNumber,Initials,ExcavationDate,Context,Season,ShapeObject,ShapeDetails,Type,Ware,Material,ProductionPlace,Conservation,Measurements,NbFragments,NbDiscarded,JoinedTo_NbRemarks,DescriptionAndRemarks,Inclusions,Fabric,Glaze,Decoraction_Stamp,Chronology1stImpression,AbsoluteChronology,ToBeDr_Ph,Drawing,Photo,PhotoFabric,Square,Level,ProcessedBy,Zone,Label,Context_Survey_Homogenized
2207,TC2012.0500,VA,24-07-12,T12-101-4,2012,Lekane,base,,black glaze,,Local,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2208,TC2012.0501,VA,24-07-12,T12-101-4,2012,Tile,edge,,plain,,Local,Poor,,2,0,2 joining,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2209,TC2012.0502,VA,24-07-12,T12-101-4,2012,Lekane,rim,,black glaze,,Local,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2210,TT2012.0503,VA,24-07-12,T12-101-4,2012,Loomweight,profile,,plain,Ceramics,Local,Poor,,1,0,,Loomweight?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2211,TC2012.0504,VA,24-07-12,T12-101-4,2012,Jug,rim,,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2212,TC2012.0505,VA,24-07-12,T12-101-4,2012,Pithos,wall,,coarse,Ceramics,Import,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2213,TC2012.0506,VA,24-07-12,T12-101-4,2012,Pithos,wall,,coarse,Ceramics,Local,Very poor,,1,0,,Local?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2214,,VA,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Local,Poor,,0,6,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2215,,VA,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Import,Poor,,3,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2216,,VA,24-07-12,T12-101-4,2012,Tile,wall,,plain,,Local,Poor,,4,4,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2217,,VA,24-07-12,T12-101-4,2012,Undetermined,wall,,cooking,,Import,Poor,,0,3,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2218,,VA,24-07-12,T12-101-4,2012,Undetermined,wall,,plain,,Local,Poor,,0,10,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2219,,VA,24-07-12,T12-101-4,2012,Closed shape,wall,,plain,,Local,Poor,,0,4,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2220,TC2012.0507,SvW,24-07-12,T12-101-4,2012,Tile,edge,,plain,,Local,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2221,TC2012.0508,SvW,24-07-12,T12-101-4,2012,Lekane,base,,black glaze,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,WAAR,,,,SURVEY,,T12-101-4
2222,TC2012.0509,SvW,24-07-12,T12-101-4,2012,Tile,edge,,plain,,Import,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2223,TC2012.0510,SvW,24-07-12,T12-101-4,2012,Cooking pot,rim,,cooking,,Import,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2224,,SvW,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Import,Poor,,4,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2225,,SvW,24-07-12,T12-101-4,2012,Closed shape,wall,,black glaze,,Local,Medium,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2226,,SvW,24-07-12,T12-101-4,2012,Open shape,wall,,black glaze,,Local,Medium,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2227,,SvW,24-07-12,T12-101-4,2012,Closed shape,wall,,plain,,Local,Medium,,0,4,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2228,,SvW,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Import,Very poor,,0,4,,Amphora?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2229,,SvW,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Local,Poor,,0,8,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2230,,SvW,24-07-12,T12-101-4,2012,Undetermined,wall,,plain,,Local,Very poor,,0,5,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2231,,SvW,24-07-12,T12-101-4,2012,Cooking pot,wall,,smoothed,,Import,Poor,,0,1,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2232,TC2012.0511,MF,24-07-12,T12-101-4,2012,Basin,rim,,coarse,,Corinthian,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2233,TC2012.0512,MF,24-07-12,T12-101-4,2012,Tile,edge,cover,red glazed,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2234,TC2012.0513,MF,24-07-12,T12-101-4,2012,Amphora,handle,,plain,,Import,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2235,TC2012.0514,MF,24-07-12,T12-101-4,2012,Closed shape,handle,,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2236,TC2012.0515,MF,24-07-12,T12-101-4,2012,Jug,rim,,plain,,Local,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2237,TC2012.0516,MF,24-07-12,T12-101-4,2012,Jug,rim + handle,,plain,,Local,Poor,,1,0,,rim fr + handle root,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2238,TC2012.0517,MF,24-07-12,T12-101-4,2012,Lekane,rim,,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,WAAR,,,,SURVEY,,T12-101-4
2239,TC2012.0518,MF,24-07-12,T12-101-4,2012,Open shape,rim,,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,WAAR,,,,SURVEY,,T12-101-4
2240,TC2012.0519,MF,24-07-12,T12-101-4,2012,Bowl,rim,,red glazed,,Local,Poor,,1,0,,,,,inside,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2241,TC2012.0520,MF,24-07-12,T12-101-4,2012,Jug,base,,cooking,,Import,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2242,TC2012.0521,MF,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Import,Medium,,1,0,,,,,,,Roman,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2243,,MF,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Import,Medium,,5,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2244,,MF,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Local,Medium,,0,11,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2245,,MF,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Import,Very poor,,0,3,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2246,,MF,24-07-12,T12-101-4,2012,Closed shape,wall,,plain,,Local,Poor,,0,25,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2247,,MF,24-07-12,T12-101-4,2012,Open shape,wall,,plain,,Local,Poor,,0,1,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2248,,MF,24-07-12,T12-101-4,2012,Closed shape,wall,,black glaze,,Local,Poor,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2249,,MF,24-07-12,T12-101-4,2012,Open shape,wall,,black glaze,,Local,Poor,,0,1,,,,,,inside,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2250,,MF,24-07-12,T12-101-4,2012,Tile,wall,flat,plain,,Local,Poor,,0,4,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2251,,MF,24-07-12,T12-101-4,2012,Undetermined,wall,,plain,,Local,Poor,,0,7,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2252,,MF,24-07-12,T12-101-4,2012,Closed shape,wall,,cooking,,Import,Poor,,0,5,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2253,TC2012.0522,WvA,24-07-12,T12-101-4,2012,Basin,base,,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2254,TC2012.0523,WvA,24-07-12,T12-101-4,2012,Basin,rim,,plain,,Import,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2255,TC2012.0524,WvA,24-07-12,T12-101-4,2012,Basin,rim,,coarse,,Import,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2256,TC2012.0525,WvA,24-07-12,T12-101-4,2012,Lekane,rim,,black glaze,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2257,TC2012.0526,WvA,24-07-12,T12-101-4,2012,Lekane,rim,,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2258,TC2012.0527,WvA,24-07-12,T12-101-4,2012,Lekane,handle,,plain,Ceramics,Local,Poor,,1,0,,Lekane?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2259,TC2012.0528,WvA,24-07-12,T12-101-4,2012,Lekane,handle,,plain,Ceramics,Local,Poor,,1,0,,Lekane?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2260,TC2012.0529,WvA,24-07-12,T12-101-4,2012,Lekane,handle,,black glaze,Ceramics,Local,Poor,,1,0,,+ root,,,,inside,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2261,TC2012.0530,WvA,24-07-12,T12-101-4,2012,Amphora,rim,,plain,,Import,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2262,TC2012.0531,WvA,24-07-12,T12-101-4,2012,Skyphos,rim + handle,,black glaze,,Local,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2263,TC2012.0532,WvA,24-07-12,T12-101-4,2012,Krater,handle,column,black glaze,,Local,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2264,TC2012.0533,WvA,24-07-12,T12-101-4,2012,Tile,edge,cover,plain,,Local,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2265,TC2012.0534,WvA,24-07-12,T12-101-4,2012,Tile,edge,cover,red glazed,,Local,Poor,,1,0,,,,,,red glaze on top,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2266,TC2012.0535,WvA,24-07-12,T12-101-4,2012,Tile,edge,cover,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2267,TC2012.0536,WvA,24-07-12,T12-101-4,2012,Basin,rim,,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2268,TC2012.0537,WvA,24-07-12,T12-101-4,2012,Amphora,rim,,plain,,Import,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2269,TC2012.0538,WvA,24-07-12,T12-101-4,2012,Closed shape,rim,,cooking,,Import,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2270,TC2012.0539,WvA,24-07-12,T12-101-4,2012,Closed shape,base,,cooking,,Import,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2271,,WvA,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Import,Medium,,10,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2272,,WvA,24-07-12,T12-101-4,2012,Pithos,wall,,coarse,Ceramics,Import,Medium,,1,0,,Pithos?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2273,,WvA,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Import,Poor,,0,19,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2274,,WvA,24-07-12,T12-101-4,2012,Amphora,wall,,plain,,Local,Medium,,0,14,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2275,,WvA,24-07-12,T12-101-4,2012,Tile,wall,cover,plain,,Local,Poor,,0,5,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2276,,WvA,24-07-12,T12-101-4,2012,Closed shape,wall,,plain,,Local,Poor,,0,29,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2277,,WvA,24-07-12,T12-101-4,2012,Open shape,wall,,plain,,Local,Poor,,0,2,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2278,,WvA,24-07-12,T12-101-4,2012,Undetermined,wall,,plain,,Local,Poor,,0,25,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2279,,WvA,24-07-12,T12-101-4,2012,Undetermined,wall,,plain,,Import,Poor,,0,8,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2280,,WvA,24-07-12,T12-101-4,2012,Closed shape,wall,,cooking,,Import,Poor,,0,15,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2281,,WvA,24-07-12,T12-101-4,2012,Undetermined,wall,,coarse,,Import,Poor,,0,2,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2282,,WvA,24-07-12,T12-101-4,2012,Tile,wall,flat,red glazed,,Local,Poor,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2283,,WvA,24-07-12,T12-101-4,2012,Closed shape,wall,,black glaze,,Local,Poor,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2284,,WvA,24-07-12,T12-101-4,2012,Open shape,wall,,black glaze,,Local,Poor,,0,2,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2285,,WvA,24-07-12,T12-101-4,2012,Undetermined,wall,,plain,Ceramics,Corinthian,Poor,,0,1,,Corinthian A,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,T12-101-4
2286,TC2012.0540,RFD,24-07-12,T12-100,2012,Amphora,handle root,SOS,black glaze,Ceramics,Local,Medium,,1,0,,it could also be a jug,,,,,Archaic,BCE 600-500,ONWAAR,WAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2287,TC2012.0541,RFD,24-07-12,T12-100,2012,Amphora,handle,,plain,,Import,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2288,TC2012.0542,RFD,24-07-12,T12-100,2012,Closed shape,base,,black glaze,,Local,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2289,TC2012.0543,RFD,24-07-12,T12-100,2012,Basin,rim,,plain,Ceramics,Corinthian,Medium,,1,0,,Corinthian A,,,,,Undetermined,,ONWAAR,WAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2290,TC2012.0544,RFD,24-07-12,T12-100,2012,Undetermined,rim,,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2291,TC2012.0545,RFD,24-07-12,T12-100,2012,Tile,edge,,black glaze,,Local,Poor,,1,0,,,,,,on rim,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2292,TC2012.0546,RFD,24-07-12,T12-100,2012,Amphora,handle root,,plain,Ceramics,Import,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2293,TC2012.0547,RFD,24-07-12,T12-100,2012,Tile,wall,flat,red glazed,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2294,TC2012.0548,RFD,24-07-12,T12-100,2012,Cooking pot,rim,,cooking,,Import,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2295,TC2012.0549,RFD,24-07-12,T12-100,2012,Bowl,base,,black glaze,,Local,Poor,,1,0,,,,,,inside,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2296,TC2012.0550,RFD,24-07-12,T12-100,2012,Amphora,handle root,,plain,,Import,Medium,,1,0,,+ shoulder,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2297,TC2012.0551,RFD,24-07-12,T12-100,2012,Cooking pot,rim + handle,,cooking,,Import,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2298,TC2012.0552,RFD,24-07-12,T12-100,2012,Lekane,handle,,plain,Ceramics,Local,Poor,,1,0,,Lekane?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2299,TC2012.0553,RFD,24-07-12,T12-100,2012,Tile,wall,,red glazed,,Import,Medium,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2300,TC2012.0554,RFD,24-07-12,T12-100,2012,Lekane,rim,,black glaze,Ceramics,Local,Poor,,1,0,,Lekane?,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2301,TC2012.0555,RFD,24-07-12,T12-100,2012,Pithos,wall,,coarse,Ceramics,Import,Medium,,1,0,,double incised line horizontal,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2302,TC2012.0556,RFD,24-07-12,T12-100,2012,Lekane,rim,,plain,,Local,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,WAAR,,,,SURVEY,,
2303,TC2012.0557,RFD,24-07-12,T12-100,2012,Bowl,rim,,red glazed,,Local,Poor,,1,0,,,,,inside,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2304,TC2012.0558,RFD,24-07-12,T12-100,2012,Closed shape,base,,plain,Ceramics,Local,Very poor,,1,0,,Closed shape?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2305,TC2012.0559,RFD,24-07-12,T12-100,2012,Kantharos,rim,,black glaze,,Local,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2306,TC2012.0560,RFD,24-07-12,T12-100,2012,Amphora,handle,,plain,,Import,Poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2307,TC2012.0561,RFD,24-07-12,T12-100,2012,Bowl,rim,,plain,,Local,Very poor,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2308,TC2012.0562,RFD,24-07-12,T12-100,2012,Amphora,shoulder,Chios/Kos/Knidos,plain,,Import,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2309,TC2012.0563,RFD,24-07-12,T12-100,2012,Amphora,base,,plain,,Lesbian,Medium,,1,0,,,,,,,Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2310,TC2012.0564,RFD,24-07-12,T12-100,2012,Tile,wall,cover,plain,,Import,Medium,,1,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2311,TC2012.0565,RFD,24-07-12,T12-100,2012,Open shape,base,,plain,,Local,Very poor,,1,0,,plain?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2312,TC2012.0566,RFD,24-07-12,T12-100,2012,Closed shape,wall,,cooking,,Import,Poor,,1,0,,,,,,red slipped outside,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2313,TC2012.0567,RFD,24-07-12,T12-100,2012,Pithos,wall,,coarse,Ceramics,Import,Poor,,1,0,,Pithos? Hole drilled before firing,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2314,TC2012.0568,RFD,24-07-12,T12-100,2012,Amphora,wall,,black glaze,,Import,Poor,,1,0,,,,,,outside,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,WAAR,,,,SURVEY,,
2315,,RFD,24-07-12,T12-100,2012,Amphora,wall,,plain,,Import,Medium,,27,0,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2316,,RFD,24-07-12,T12-100,2012,Basin,wall,,plain,,Import,Poor,,0,1,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2317,,RFD,24-07-12,T12-100,2012,Closed shape,wall,,plain,,Import,Poor,,0,19,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2318,,RFD,24-07-12,T12-100,2012,Amphora,wall,,plain,,Import,Poor,,0,38,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2319,,RFD,24-07-12,T12-100,2012,Amphora,wall,,plain,,Local,Medium,,0,38,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2320,,RFD,24-07-12,T12-100,2012,Closed shape,wall,,plain,,Local,Poor,,0,35,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2321,,RFD,24-07-12,T12-100,2012,Undetermined,wall,,plain,,Local,Very poor,,0,21,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2322,,RFD,24-07-12,T12-100,2012,Undetermined,wall,,plain,,Import,Very poor,,0,12,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2323,,RFD,24-07-12,T12-100,2012,Closed shape,wall,,cooking,,Import,Poor,,0,12,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2324,,RFD,24-07-12,T12-100,2012,Closed shape,wall,,cooking,,Import,Medium,,0,1,,,,,,red slipped outside,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2325,TC2012.0569,RFD,24-07-12,T12-100,2012,Tile,wall,,plain,Ceramics,Import,Medium,,1,0,,Tile?,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,WAAR,,,,SURVEY,,
2326,,RFD,24-07-12,T12-100,2012,Tile,wall,cover,plain,,Local,Poor,,0,4,,,,,,,Undetermined,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2327,,RFD,24-07-12,T12-100,2012,Tile,wall,cover,red glazed,,Local,Medium,,0,1,,,,,outside,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2328,,RFD,24-07-12,T12-100,2012,Jug,neck,,red glazed,,Local,Medium,,0,1,,,,,inside,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
2329,,RFD,24-07-12,T12-100,2012,Open shape,wall,,black glaze,,Local,Medium,,0,2,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,,SURVEY,,
