id,InventoryNumber,Initials,ExcavationDate,Context,Season,ShapeObject,ShapeDetails,Type,Ware,Material,ProductionPlace,Conservation,Measurements,NbFragments,NbDiscarded,JoinedTo_NbRemarks,DescriptionAndRemarks,Inclusions,Fabric,Glaze,Decoraction_Stamp,Chronology1stImpression,AbsoluteChronology,ToBeDr_Ph,Drawing,Photo,PhotoFabric,Square,Level,ProcessedBy,Zone,Label,Context_Survey_Homogenized
14087,,SdS,02-07-14,T14-173-1-1,2014,Undetermined,wall,,coarse,,Local,Poor,,19,0,,Prehistoric?,,,,,Prehistoric,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T14-173-1
14088,,SdS,02-07-14,T14-173-1-1,2014,Undetermined,rim,,coarse,,Local,Poor,,1,0,,Prehistoric?,,,,,Prehistoric,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T14-173-1
14089,,SdS,02-07-14,T14-173-1-1,2014,Undetermined,wall,,plain,,Corinthian,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T14-173-1
14090,,SdS,02-07-14,T14-173-1-1,2014,Undetermined,wall,,plain,,Local,Poor,,0,12,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T14-173-1
14091,,SdS,02-07-14,T14-173-1-1,2014,Undetermined,wall,,black glaze,,Local,Poor,,2,0,,,,,,,Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T14-173-1
14092,TC2013.2936,SC,19-07-13,T13-147-2-C,2013,Undetermined,handle,,coarse,,Local,Poor,,1,0,,strap handle,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14093,TC2013.2937,SC,19-07-13,T13-147-2-C,2013,Undetermined,base,,plain,,Local,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14094,TC2013.2938,SC,19-07-13,T13-147-2-C,2013,Amphora,peg,,coarse,,Local,Medium,,1,0,,Highly waterrolled amphora peg,,,,,Archaic/Classical,,ONWAAR,ONWAAR,WAAR,ONWAAR,,,FvdE+AP,SURVEY,,T13-147-2
14095,TC2013.2939,SC,19-07-13,T13-147-2-C,2013,Amphora,peg,Mende?,plain,,Local,Good,,1,0,,The only doubt about the attribution to an amphora is the wall thickness, that seem too small in the picture,,,,,Archaic/Classical,,ONWAAR,ONWAAR,WAAR,ONWAAR,,,FvdE+AP,SURVEY,,T13-147-2
14096,TC2013.2940,SC,19-07-13,T13-147-2-C,2013,Amphora,handle,,plain,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14097,TC2013.2941,SC,19-07-13,T13-147-2-C,2013,Lamp,profile,,black glaze,Ceramics,Local,Medium,,1,0,,Lamp?,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14098,TC2013.2942,SC,19-07-13,T13-147-2-C,2013,Undetermined,handle,,plain,Ceramics,Local,Medium,,1,0,,thumb imprint. Horizontal handle,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14099,TC2013.2943,SC,19-07-13,T13-147-2-C,2013,Plate,base,,plain,Ceramics,Local,Medium,,1,0,,Plate?,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14100,TC2013.2944,SC,19-07-13,T13-147-2-C,2013,Lekane,handle,,plain,Ceramics,Local,Good,,1,0,,Lekane? horizontal handle,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14101,,SC,19-07-13,T13-147-2-C,2013,Amphora,wall,,plain,,Import,Medium,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14102,,SC,19-07-13,T13-147-2-C,2013,Amphora,wall,,plain,,Local,Medium,,0,1,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14103,,SC,19-07-13,T13-147-2-C,2013,Tile,wall,cover,plain,,Local,Medium,,0,2,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14104,,SC,19-07-13,T13-147-2-C,2013,Tile,edge,pan,plain,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14105,,SC,19-07-13,T13-147-2-C,2013,Undetermined,wall,,plain,,Corinthian,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14106,,SC,19-07-13,T13-147-2-C,2013,Open shape,wall,,black glaze,Ceramics,Local,Medium,,1,0,,Open shape?,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14107,,SC,19-07-13,T13-147-2-C,2013,Undetermined,wall,,plain,,Local,Poor,,0,27,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
